id,display name,resource type,opacity,emission,roughness,hardness,texture,top,side,bottom,only on top,single items
grass,Grass,biomass,1,0,1,1,grass,grass,grass_block_side,soil,,
sand,Sand,sand,1,0,1,2,sand,,,,,
spruce_wood,Spruce Wood,wood,1,0,1,4,spruce_log,spruce_log_top,spruce_log,spruce_log_top,,
stone,Stone,stone,1,0,1,6,stone,stone,,,,
water,Water,water,0.5,0,0.2,1,water,,,,,
oak_leaves,Oak Leaves,biomass,1,0,0.5,1,oak_leaves,,,,,
soil,Soil,stone,1,0,1,1,soil,,,,,
bedrock,Bedrock,bedrock,1,0,1,0,bedrock,,,,,
cobblestone,Cobblestone,stone,1,0,0.6,6,cobblestone,,,,,
basalt,Basalt,stone,1,0,0.4,7,basalt_top,basalt_top,basalt_side,basalt_top,,
cherry_wood,Cherry Wood,wood,1,0,1,4,cherry_log,cherry_log_top,cherry_log,cherry_log_top,,
cherry_leaves,Cherry Leaves,biomass,1,0,0.7,2,cherry_leaves,,,,,
birch_wood,Birch Wood,wood,1,0,1,4,birch_log,birch_log_top,birch_log,birch_log_top,,
birch_leaves,Birch Leaves,biomass,1,0,0.8,2,birch_leaves,,,,,
gold_ore,Gold Ore,gold_ore,1,0.3,0.5,10,gold_ore,,,,,
diamond_ore,Diamond Ore,diamond_ore,1,0.4,0.5,20,diamond_ore,,,,,
emerald_ore,Emerald Ore,emerald_ore,1,0.3,0.5,18,emerald_ore,,,,,
copper_ore,Copper Ore,copper_ore,1,0,0.7,6,copper_ore,,,,,
oak_wood,Oak Wood,wood,1,0,1,4,oak_log,oak_log_top,oak_log,oak_log_top,,
spruce_leaves,Spruce Leaves,biomass,1,0,0.8,1,spruce_leaves,,,,,
pumpkin,Pumpkin,food,1,0,0.8,2,pumpkin_side,pumpkin_top,pumpkin_side,pumpkin_bottom,,
bricks,Bricks,stone,1,0,1,6,bricks,,,,,1
short grass,Short Grass,biomass,1,0,1,1,short_grass,,,,1,1
iron_ore,Iron Ore,metals,1,0,0.9,6,iron_ore,,,,,
tin_ore,Tin Ore,metals,1,0,0.9,5,tin_ore,,,,,
silver_ore,Silver Ore,metals,1,0,0.9,8,silver_ore,,,,,
coal,Coal,minerals,1,0,0.9,4,coal,,,,,
sulfur,Sulfur,minerals,1,0,0.9,4,sulfur,,,,,
rock_salt,Rock Salt,minerals,1,0,0.35,3,rock_salt,,,,,
clay,Clay,earth and stone,1,0,0.9,2,clay,,,,,
limestone,Limestone,earth and stone,1,0,0.9,4,limestone,,,,,
marble,Marble,earth and stone,1,0,0.9,6,marble,,,,,
granite,Granite,earth and stone,1,0,0.9,7,granite,,,,,
obsidian,Obsidian,earth and stone,1,0,0.9,9,obsidian,,,,,
quartz,Quartz,gems,1,0,0.35,5,quartz,,,,,
amethyst,Amethyst,gems,1,0,0.35,7,amethyst,,,,,
sapphire_ore,Sapphire Ore,gems,1,0,0.9,10,sapphire_ore,,,,,
ruby_ore,Ruby Ore,gems,1,0,0.9,10,ruby_ore,,,,,
mithril_ore,Mithril Ore,arcane,1,0,0.9,12,mithril_ore,,,,,
moonstone,Moonstone,arcane,1,0.12,0.35,9,moonstone,,,,,
amber,Amber,gems,1,0,0.35,4,amber,,,,,
peat,Peat,plants,1,0,0.9,2,peat,,,,,
reeds,Reeds,plants,1,0,0.9,1,reeds,,,,1,1
flax,Flax,plants,1,0,0.9,1,flax,,,,1,1
wild_herbs,Wild Herbs,plants,1,0,0.9,1,wild_herbs,,,,1,1
iron,Iron,metals,1,0,0.35,6,iron,,,,,
copper,Copper,metals,1,0,0.35,5,copper,,,,,
tin,Tin,metals,1,0,0.35,4,tin,,,,,
silver,Silver,metals,1,0,0.35,6,silver,,,,,
gold,Gold,metals,1,0,0.35,5,gold,,,,,
